Recipe_Name,Ingredients,Label,Category,Recipe Steps,Nutrition Facts
Dhokla,"lentils, peas, onion",Veg,"side dish, main course, lunch","1. Gather all ingredients: lentils, peas, onion. 2. Prepare the ingredients for dhokla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Fish Curry,"egg, bacon, rice, tomato",Non-Veg,"side dish, snack, breakfast","1. Gather all ingredients: egg, bacon, rice, tomato. 2. Prepare the ingredients for fish curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken 65,"anchovy, potato, tomato, capsicum",Non-Veg,dinner,"1. Gather all ingredients: anchovy, potato, tomato, capsicum. 2. Prepare the ingredients for chicken 65 (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Paneer Sandwich,"paneer, tomato, capsicum, bread, cheese",Veg,"supper, breakfast, main course","1. Gather all ingredients: paneer, tomato, capsicum, bread, cheese. 2. Prepare the ingredients for paneer sandwich (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Methi Paratha,"peas, mushroom, capsicum",Veg,side dish,"1. Gather all ingredients: peas, mushroom, capsicum. 2. Prepare the ingredients for methi paratha (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Fish Fry,"prawns, beef, peas, corn, potato",Non-Veg,side dish,"1. Gather all ingredients: prawns, beef, peas, corn, potato. 2. Prepare the ingredients for fish fry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Paneer Tikka,"onion, broccoli, tomato",Veg,"supper, appetizer","1. Gather all ingredients: onion, broccoli, tomato. 2. Prepare the ingredients for paneer tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Fish Curry,"egg, corn, cauliflower, potato",Non-Veg,"appetizer, lunch, breakfast","1. Gather all ingredients: egg, corn, cauliflower, potato. 2. Prepare the ingredients for fish curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Egg Curry,"bacon, turkey, tomato, lentils",Non-Veg,appetizer,"1. Gather all ingredients: bacon, turkey, tomato, lentils. 2. Prepare the ingredients for egg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Shawarma,"anchovy, onion, beans",Non-Veg,"lunch, side dish","1. Gather all ingredients: anchovy, onion, beans. 2. Prepare the ingredients for chicken shawarma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Masala Dosa,"carrot, rice, peas, corn",Veg,dinner,"1. Gather all ingredients: carrot, rice, peas, corn. 2. Prepare the ingredients for masala dosa (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Mutton Rogan Josh,"chicken, anchovy, broccoli, cheese, lentils",Non-Veg,"main course, supper","1. Gather all ingredients: chicken, anchovy, broccoli, cheese, lentils. 2. Prepare the ingredients for mutton rogan josh (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Tikka,"fish, egg, broccoli, paneer",Non-Veg,"appetizer, breakfast","1. Gather all ingredients: fish, egg, broccoli, paneer. 2. Prepare the ingredients for chicken tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Egg Curry,"turkey, carrot, peas",Non-Veg,"side dish, appetizer, lunch","1. Gather all ingredients: turkey, carrot, peas. 2. Prepare the ingredients for egg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Roti Sabzi,"corn, tomato, spinach, cheese, potato",Veg,appetizer,"1. Gather all ingredients: corn, tomato, spinach, cheese, potato. 2. Prepare the ingredients for roti sabzi (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Egg Roll,"anchovy, fish, rice, carrot",Non-Veg,brunch,"1. Gather all ingredients: anchovy, fish, rice, carrot. 2. Prepare the ingredients for egg roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chole Bhature,"peas, cauliflower, rice, carrot",Veg,"lunch, dinner, appetizer","1. Gather all ingredients: peas, cauliflower, rice, carrot. 2. Prepare the ingredients for chole bhature (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Mutton Biryani,"anchovy, fish, beans, cheese",Non-Veg,"dinner, main course","1. Gather all ingredients: anchovy, fish, beans, cheese. 2. Prepare the ingredients for mutton biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Biryani,"chicken, egg, cauliflower, beans",Non-Veg,"lunch, dinner, side dish","1. Gather all ingredients: chicken, egg, cauliflower, beans. 2. Prepare the ingredients for chicken biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chole Bhature,"broccoli, spinach, lentils, cheese",Veg,supper,"1. Gather all ingredients: broccoli, spinach, lentils, cheese. 2. Prepare the ingredients for chole bhature (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Aloo Tikki,"cauliflower, corn, peas, cheese",Veg,"brunch, appetizer","1. Gather all ingredients: cauliflower, corn, peas, cheese. 2. Prepare the ingredients for aloo tikki (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Kathi Roll,"turkey, mushroom, onion, cauliflower",Non-Veg,"dinner, lunch","1. Gather all ingredients: turkey, mushroom, onion, cauliflower. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Fish Fry,"mutton, salami, tomato, capsicum, broccoli",Non-Veg,"snack, breakfast","1. Gather all ingredients: mutton, salami, tomato, capsicum, broccoli. 2. Prepare the ingredients for fish fry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Curry,"bacon, prawns, beans, cheese",Non-Veg,"lunch, side dish","1. Gather all ingredients: bacon, prawns, beans, cheese. 2. Prepare the ingredients for chicken curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Butter Chicken,"prawns, beef, cheese, spinach, beetroot",Non-Veg,"brunch, supper, dinner","1. Gather all ingredients: prawns, beef, cheese, spinach, beetroot. 2. Prepare the ingredients for butter chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Shawarma,"prawns, anchovy, beans, mushroom",Non-Veg,"dinner, lunch, snack","1. Gather all ingredients: prawns, anchovy, beans, mushroom. 2. Prepare the ingredients for chicken shawarma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Tandoori Chicken,"anchovy, capsicum, beans, rice",Non-Veg,"main course, side dish, appetizer","1. Gather all ingredients: anchovy, capsicum, beans, rice. 2. Prepare the ingredients for tandoori chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Biryani,"chicken, salami, mushroom, cauliflower",Non-Veg,"supper, side dish","1. Gather all ingredients: chicken, salami, mushroom, cauliflower. 2. Prepare the ingredients for chicken biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Mutton Biryani,"chicken, egg, onion, corn",Non-Veg,"breakfast, brunch, dinner","1. Gather all ingredients: chicken, egg, onion, corn. 2. Prepare the ingredients for mutton biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Besan Chilla,"beetroot, beans, onion, peas",Veg,"main course, lunch","1. Gather all ingredients: beetroot, beans, onion, peas. 2. Prepare the ingredients for besan chilla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Keema Pav,"salami, beef, lentils, paneer",Non-Veg,"dinner, breakfast, main course","1. Gather all ingredients: salami, beef, lentils, paneer. 2. Prepare the ingredients for keema pav (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Samosa,"carrot, onion, rice",Veg,supper,"1. Gather all ingredients: carrot, onion, rice. 2. Prepare the ingredients for samosa (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Masala Dosa,"paneer, lentils, rice",Veg,appetizer,"1. Gather all ingredients: paneer, lentils, rice. 2. Prepare the ingredients for masala dosa (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chana Masala,"carrot, capsicum, peas, lentils, potato",Veg,"dinner, side dish, lunch","1. Gather all ingredients: carrot, capsicum, peas, lentils, potato. 2. Prepare the ingredients for chana masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Curry,"salami, onion, beans, peas",Non-Veg,"main course, lunch, appetizer","1. Gather all ingredients: salami, onion, beans, peas. 2. Prepare the ingredients for chicken curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Keema Pav,"prawns, bacon, carrot, onion, lentils",Non-Veg,dinner,"1. Gather all ingredients: prawns, bacon, carrot, onion, lentils. 2. Prepare the ingredients for keema pav (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Upma,"rice, peas, paneer, corn, tomato",Veg,"main course, dinner, breakfast","1. Gather all ingredients: rice, peas, paneer, corn, tomato. 2. Prepare the ingredients for upma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Paneer Tikka,"lentils, broccoli, cheese, corn",Veg,"snack, appetizer","1. Gather all ingredients: lentils, broccoli, cheese, corn. 2. Prepare the ingredients for paneer tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Paneer Butter Masala,"cheese, mushroom, corn, beetroot",Veg,"dinner, supper","1. Gather all ingredients: cheese, mushroom, corn, beetroot. 2. Prepare the ingredients for paneer butter masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Rajma Chawal,"rice, beans, corn, tomato, onion",Veg,"supper, side dish, brunch","1. Gather all ingredients: rice, beans, corn, tomato, onion. 2. Prepare the ingredients for rajma chawal (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Mix Veg Curry,"potato, paneer, beetroot",Veg,breakfast,"1. Gather all ingredients: potato, paneer, beetroot. 2. Prepare the ingredients for mix veg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Paneer Butter Masala,"beans, capsicum, spinach, broccoli, mushroom",Veg,"breakfast, dinner, supper","1. Gather all ingredients: beans, capsicum, spinach, broccoli, mushroom. 2. Prepare the ingredients for paneer butter masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Kathi Roll,"beef, anchovy, lentils, rice",Non-Veg,snack,"1. Gather all ingredients: beef, anchovy, lentils, rice. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Palak Paneer,"cauliflower, corn, paneer",Veg,"side dish, lunch","1. Gather all ingredients: cauliflower, corn, paneer. 2. Prepare the ingredients for palak paneer (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Prawn Masala,"bacon, paneer, onion",Non-Veg,"breakfast, main course","1. Gather all ingredients: bacon, paneer, onion. 2. Prepare the ingredients for prawn masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Curry,"chicken, rice, spinach, onion",Non-Veg,supper,"1. Gather all ingredients: chicken, rice, spinach, onion. 2. Prepare the ingredients for chicken curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken 65,"prawns, beetroot, broccoli",Non-Veg,"appetizer, dinner","1. Gather all ingredients: prawns, beetroot, broccoli. 2. Prepare the ingredients for chicken 65 (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Rajma Chawal,"beetroot, mushroom, capsicum, peas, tomato",Veg,snack,"1. Gather all ingredients: beetroot, mushroom, capsicum, peas, tomato. 2. Prepare the ingredients for rajma chawal (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Kathi Roll,"egg, paneer, cheese, capsicum",Non-Veg,supper,"1. Gather all ingredients: egg, paneer, cheese, capsicum. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Egg Curry,"fish, cheese, beans, paneer",Non-Veg,"lunch, snack","1. Gather all ingredients: fish, cheese, beans, paneer. 2. Prepare the ingredients for egg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Idli Sambar,"beetroot, beans, corn, paneer",Veg,"main course, dinner","1. Gather all ingredients: beetroot, beans, corn, paneer. 2. Prepare the ingredients for idli sambar (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Idli Sambar,"beetroot, carrot, capsicum, corn, mushroom",Veg,"snack, side dish","1. Gather all ingredients: beetroot, carrot, capsicum, corn, mushroom. 2. Prepare the ingredients for idli sambar (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Egg Roll,"beef, potato, mushroom, broccoli",Non-Veg,"dinner, appetizer, lunch","1. Gather all ingredients: beef, potato, mushroom, broccoli. 2. Prepare the ingredients for egg roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Fish Fry,"chicken, fish, potato, beans",Non-Veg,"lunch, dinner","1. Gather all ingredients: chicken, fish, potato, beans. 2. Prepare the ingredients for fish fry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Mutton Biryani,"beef, onion, corn",Non-Veg,dinner,"1. Gather all ingredients: beef, onion, corn. 2. Prepare the ingredients for mutton biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Kachori,"lentils, cauliflower, beans, rice",Veg,"dinner, snack","1. Gather all ingredients: lentils, cauliflower, beans, rice. 2. Prepare the ingredients for kachori (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Palak Paneer,"peas, spinach, rice",Veg,supper,"1. Gather all ingredients: peas, spinach, rice. 2. Prepare the ingredients for palak paneer (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Shawarma,"anchovy, chicken, spinach, cauliflower, paneer",Non-Veg,"snack, brunch, supper","1. Gather all ingredients: anchovy, chicken, spinach, cauliflower, paneer. 2. Prepare the ingredients for chicken shawarma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Mix Veg Curry,"rice, spinach, beetroot",Veg,"breakfast, appetizer, side dish","1. Gather all ingredients: rice, spinach, beetroot. 2. Prepare the ingredients for mix veg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Mutton Biryani,"egg, anchovy, carrot, beetroot, onion",Non-Veg,side dish,"1. Gather all ingredients: egg, anchovy, carrot, beetroot, onion. 2. Prepare the ingredients for mutton biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Keema Pav,"egg, cauliflower, beans, broccoli",Non-Veg,main course,"1. Gather all ingredients: egg, cauliflower, beans, broccoli. 2. Prepare the ingredients for keema pav (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Biryani,"anchovy, chicken, beetroot, beans",Non-Veg,"breakfast, snack","1. Gather all ingredients: anchovy, chicken, beetroot, beans. 2. Prepare the ingredients for chicken biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Shawarma,"beef, chicken, potato, rice",Non-Veg,appetizer,"1. Gather all ingredients: beef, chicken, potato, rice. 2. Prepare the ingredients for chicken shawarma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
